1,Designator,MPN,Qty,Link
2,R14,1210W3F470JT5E,1,https://www.seeedstudio.com/opl.html
3,R11,RMCF0805JT47R0,1,https://www.seeedstudio.com/opl.html
4,D3,1N4148WT,1,https://www.seeedstudio.com/opl.html
5,"C1,C2,C3, C4,C18",CL03A104KQ3NNNH,5,https://www.seeedstudio.com/opl.html
6,"C8,C9,C11,C16,C17,C19",08055C104JAT2A,6,https://www.seeedstudio.com/opl.html
7,"C12,C13,C14,C15",ECP-U1C105MA5,4,https://www.digikey.fr/product-detail/fr/panasonic-electronic-components/ECP-U1C105MA5/PCF1132CT-ND/285459
8,"C6,C5",CL21B225KOFNNNE,2,https://www.seeedstudio.com/opl.html
9,"C10,C7",C2012X7R1C225K125AB,2,https://www.digikey.fr/product-detail/fr/tdk-corporation/C2012X7R1C225K125AB/445-1420-1-ND/569086
10,R10,BK1608HM471-T,1,https://www.seeedstudio.com/opl.html
11,R7,MPZ2012S221AT000,1,https://www.seeedstudio.com/opl.html
12,U1,6N138SM,1,https://www.seeedstudio.com/opl.html
13,"SW2,SW1",PTS645SM43SMTR92LFS,2,https://www.seeedstudio.com/opl.html
14,"D1,D2",LTST-C171KFKT,2,https://www.seeedstudio.com/opl.html
15,"R12,R13",CRCW0402100RFKEDC,2,https://www.seeedstudio.com/opl.html
16,R6,0402WGJ0103TCE,1,https://www.seeedstudio.com/opl.html
17,"R5,R4",0402WGJ0104TCE,2,https://www.seeedstudio.com/opl.html
18,U10,W25Q128JVSIQTR,1,https://www.seeedstudio.com/opl.html
19,"R8,R9",RNCS0805BKE10K0,2,https://www.seeedstudio.com/opl.html
20,"R3,R1",AC0402JR-072K2L,2,https://www.seeedstudio.com/opl.html
21,R2,RMCF0402JT100R,1,https://www.seeedstudio.com/opl.html
22,"U6,U7","74HC4051BQ,115 ",2,https://www.digikey.fr/product-detail/fr/nexperia-usa-inc/74HC4051BQ-115/1727-6049-1-ND/2753885
23,L1,MLZ2012M470WT000 ,1,https://www.digikey.fr/product-detail/fr/tdk-corporation/MLZ2012M470WT000/445-6400-1-ND/2465726
24,U9,SGTL5000XNAA3,1,https://www.mouser.fr/ProductDetail/NXP-Semiconductors/SGTL5000XNAA3?qs=g5o6z0NmdpQ52bnp6yi7dA==
25,U8,MCP1811AT-018/TT,1,https://www.mouser.fr/ProductDetail/Microchip-Technology/MCP1811AT-018-TT?qs=byeeYqUIh0NDzAU3hglf3g%3D%3D
26,"U3,U4,U5","74HC595BQ,115 ",3,https://www.digikey.fr/product-detail/fr/nexperia-usa-inc/74HC595BQ-115/1727-3327-1-ND/1023390
